Latitude, Longitude, Month, Day, Year, Hour, Minute, Second
3251.030, -7801.253, 02, 15, 2012, 20, 10, 21
3251.013, -7801.297, 02, 15, 2012, 20, 12, 10
3250.915, -7801.508, 02, 15, 2012, 20, 21, 25
3250.800, -7801.749, 02, 15, 2012, 20, 31, 23
3250.767, -7801.823, 02, 15, 2012, 20, 35, 08
3250.684, -7802.048, 02, 15, 2012, 20, 46, 31
3250.555, -7802.308, 02, 15, 2012, 20, 58, 06
3250.493, -7802.477, 02, 15, 2012, 21, 06, 27
3251.218, -7800.704, 02, 15, 2012, 22, 52, 58
3250.231, -7802.632, 02, 16, 2012, 01, 02, 07
3251.146, -7800.955, 02, 16, 2012, 01, 26, 51
3251.139, -7800.967, 02, 16, 2012, 01, 27, 22
3251.081, -7801.223, 02, 16, 2012, 01, 36, 50
3251.034, -7801.385, 02, 16, 2012, 01, 43, 43
3250.950, -7801.832, 02, 16, 2012, 02, 00, 54
3250.827, -7802.356, 02, 16, 2012, 02, 23, 06
3250.800, -7802.448, 02, 16, 2012, 02, 26, 25
3250.786, -7802.498, 02, 16, 2012, 02, 28, 11
3250.776, -7802.532, 02, 16, 2012, 02, 29, 28
3250.703, -7802.758, 02, 16, 2012, 02, 37, 52
3250.648, -7802.930, 02, 16, 2012, 02, 43, 54
3250.634, -7802.971, 02, 16, 2012, 02, 45, 14
3250.568, -7803.191, 02, 16, 2012, 02, 55, 35
3250.533, -7803.296, 02, 16, 2012, 02, 59, 17
3250.511, -7803.363, 02, 16, 2012, 03, 01, 32
3250.488, -7803.437, 02, 16, 2012, 03, 04, 00
3250.474, -7803.480, 02, 16, 2012, 03, 06, 07
3250.063, -7804.782, 02, 16, 2012, 04, 01, 30
3249.964, -7805.098, 02, 16, 2012, 04, 12, 26
3249.961, -7805.107, 02, 16, 2012, 04, 12, 50
3249.794, -7805.908, 02, 16, 2012, 05, 19, 35
3249.792, -7805.917, 02, 16, 2012, 05, 19, 58
3249.788, -7805.928, 02, 16, 2012, 05, 20, 21
3249.754, -7806.032, 02, 16, 2012, 05, 24, 48
3249.672, -7806.315, 02, 16, 2012, 05, 34, 48
3249.664, -7806.348, 02, 16, 2012, 05, 35, 29
3249.569, -7806.754, 02, 16, 2012, 07, 44, 43
3249.146, -7807.703, 02, 16, 2012, 09, 42, 00
3248.931, -7808.407, 02, 16, 2012, 10, 08, 19
3248.700, -7808.796, 02, 16, 2012, 12, 30, 54
3248.334, -7810.144, 02, 16, 2012, 14, 21, 17
3247.733, -7812.029, 02, 16, 2012, 18, 32, 06
3247.562, -7812.383, 02, 16, 2012, 20, 30, 05
3247.562, -7812.383, 02, 16, 2012, 20, 30, 09
3246.972, -7812.226, 02, 16, 2012, 22, 29, 16
3245.749, -7812.316, 02, 17, 2012, 00, 30, 09
3244.562, -7812.621, 02, 17, 2012, 02, 33, 32
3242.642, -7813.288, 02, 17, 2012, 08, 30, 55
3240.689, -7813.386, 02, 17, 2012, 14, 31, 51
3240.475, -7813.640, 02, 17, 2012, 16, 31, 13
3239.862, -7814.623, 02, 17, 2012, 18, 19, 02
3239.126, -7814.795, 02, 17, 2012, 20, 26, 37
3237.708, -7815.012, 02, 18, 2012, 01, 04, 39
3235.483, -7815.214, 02, 18, 2012, 03, 09, 38
3233.413, -7815.774, 02, 18, 2012, 05, 06, 21
3231.361, -7816.212, 02, 18, 2012, 07, 04, 52
3229.298, -7816.149, 02, 18, 2012, 09, 06, 17
3227.241, -7815.405, 02, 18, 2012, 11, 12, 52
3223.383, -7812.851, 02, 18, 2012, 15, 12, 05
3223.383, -7812.851, 02, 18, 2012, 15, 12, 09
