Latitude, Longitude, Month, Day, Year, Hour, Minute, Second
3256.033, -7806.311, 01, 25, 2012, 16, 55, 06
3255.791, -7806.463, 01, 25, 2012, 17, 22, 52
3255.762, -7806.473, 01, 25, 2012, 17, 27, 42
3255.751, -7806.473, 01, 25, 2012, 17, 30, 24
3255.680, -7806.465, 01, 25, 2012, 17, 42, 03
3255.569, -7806.450, 01, 25, 2012, 18, 02, 53
3255.492, -7806.416, 01, 25, 2012, 18, 12, 27
3255.423, -7806.400, 01, 25, 2012, 18, 26, 39
3255.390, -7806.462, 01, 25, 2012, 18, 54, 09
3255.439, -7806.475, 01, 25, 2012, 19, 17, 24
3255.409, -7806.494, 01, 25, 2012, 19, 24, 31
3255.392, -7806.508, 01, 25, 2012, 19, 26, 48
3255.392, -7806.508, 01, 25, 2012, 19, 27, 12
3255.392, -7806.508, 01, 25, 2012, 19, 27, 37
3255.392, -7806.508, 01, 25, 2012, 19, 28, 02
3255.392, -7806.508, 01, 25, 2012, 19, 28, 24
3255.392, -7806.508, 01, 25, 2012, 19, 30, 52
3255.392, -7806.508, 01, 25, 2012, 19, 31, 17
3255.370, -7806.531, 01, 25, 2012, 19, 33, 37
3255.437, -7806.569, 01, 25, 2012, 19, 54, 30
3255.437, -7806.569, 01, 25, 2012, 19, 54, 53
3255.417, -7806.586, 01, 25, 2012, 20, 01, 05
3255.417, -7806.586, 01, 25, 2012, 20, 01, 30
3255.417, -7806.586, 01, 25, 2012, 20, 01, 55
3255.417, -7806.586, 01, 25, 2012, 20, 02, 20
3255.417, -7806.586, 01, 25, 2012, 20, 02, 42
3255.417, -7806.586, 01, 25, 2012, 20, 03, 07
3255.405, -7806.601, 01, 25, 2012, 20, 03, 32
3255.405, -7806.601, 01, 25, 2012, 20, 03, 57
3255.405, -7806.601, 01, 25, 2012, 20, 04, 23
3255.401, -7806.606, 01, 25, 2012, 20, 04, 47
3255.401, -7806.606, 01, 25, 2012, 20, 05, 12
3255.396, -7806.611, 01, 25, 2012, 20, 07, 44
3255.396, -7806.611, 01, 25, 2012, 20, 08, 09
3255.396, -7806.611, 01, 25, 2012, 20, 08, 30
3255.396, -7806.611, 01, 25, 2012, 20, 08, 55
3255.396, -7806.611, 01, 25, 2012, 20, 09, 20
3255.396, -7806.611, 01, 25, 2012, 20, 09, 45
3255.396, -7806.611, 01, 25, 2012, 20, 10, 10
3255.396, -7806.611, 01, 25, 2012, 20, 10, 35
3255.396, -7806.611, 01, 25, 2012, 20, 11, 00
3255.385, -7806.632, 01, 25, 2012, 20, 11, 25
3255.385, -7806.632, 01, 25, 2012, 20, 11, 50
3255.436, -7806.704, 01, 25, 2012, 20, 29, 15
3255.436, -7806.704, 01, 25, 2012, 20, 29, 39
3255.436, -7806.704, 01, 25, 2012, 20, 30, 01
3255.436, -7806.704, 01, 25, 2012, 20, 30, 26
3255.435, -7806.719, 01, 25, 2012, 20, 33, 07
3255.435, -7806.719, 01, 25, 2012, 20, 33, 49
3255.840, -7806.928, 01, 25, 2012, 22, 40, 28
3255.843, -7806.972, 01, 25, 2012, 22, 49, 05
3255.925, -7806.622, 01, 26, 2012, 00, 58, 24
3255.686, -7806.025, 01, 26, 2012, 02, 59, 57
3255.679, -7806.021, 01, 26, 2012, 03, 05, 54
3255.679, -7806.021, 01, 26, 2012, 03, 06, 18
3255.679, -7806.021, 01, 26, 2012, 03, 06, 39
3255.679, -7806.021, 01, 26, 2012, 03, 07, 00
3255.679, -7806.021, 01, 26, 2012, 03, 07, 21
3255.679, -7806.021, 01, 26, 2012, 03, 07, 43
3255.679, -7806.021, 01, 26, 2012, 03, 08, 08
3255.679, -7806.021, 01, 26, 2012, 03, 08, 31
3254.812, -7805.356, 01, 26, 2012, 05, 02, 10
3254.421, -7805.421, 01, 26, 2012, 07, 03, 55
3253.974, -7806.081, 01, 26, 2012, 09, 00, 57
3254.272, -7806.754, 01, 26, 2012, 11, 03, 51
3254.438, -7807.194, 01, 26, 2012, 12, 58, 56
3254.299, -7807.316, 01, 26, 2012, 14, 58, 56
3254.080, -7807.160, 01, 26, 2012, 16, 56, 59
3253.928, -7806.818, 01, 26, 2012, 19, 01, 55
3253.595, -7807.059, 01, 26, 2012, 21, 02, 02
3253.629, -7807.624, 01, 26, 2012, 23, 03, 25
3253.734, -7807.998, 01, 27, 2012, 01, 04, 00
3253.670, -7807.879, 01, 27, 2012, 03, 05, 26
3253.670, -7807.879, 01, 27, 2012, 03, 05, 31
3253.595, -7807.731, 01, 27, 2012, 05, 05, 29
3253.562, -7807.391, 01, 27, 2012, 07, 01, 46
3253.065, -7807.327, 01, 27, 2012, 08, 59, 43
3253.648, -7806.922, 01, 27, 2012, 12, 59, 12
3253.629, -7806.232, 01, 27, 2012, 15, 02, 44
3253.039, -7805.428, 01, 27, 2012, 17, 01, 23
3252.052, -7804.297, 01, 27, 2012, 20, 59, 48
3251.841, -7803.711, 01, 27, 2012, 23, 02, 49
3251.924, -7803.614, 01, 28, 2012, 00, 59, 58
3251.568, -7803.386, 01, 28, 2012, 05, 01, 58
3251.133, -7802.937, 01, 28, 2012, 06, 58, 40
3250.907, -7802.841, 01, 28, 2012, 09, 03, 11
3250.896, -7803.015, 01, 28, 2012, 11, 02, 13
3250.896, -7803.015, 01, 28, 2012, 11, 02, 16
3251.029, -7803.606, 01, 28, 2012, 13, 07, 22
3251.149, -7803.512, 01, 28, 2012, 15, 06, 40
3251.044, -7803.312, 01, 28, 2012, 17, 11, 40
3250.764, -7802.873, 01, 28, 2012, 19, 11, 56
3250.513, -7803.140, 01, 28, 2012, 21, 09, 30
3250.443, -7803.801, 01, 28, 2012, 23, 10, 22
3250.425, -7804.406, 01, 29, 2012, 01, 11, 21
3250.363, -7804.894, 01, 29, 2012, 05, 12, 07
3250.184, -7804.920, 01, 29, 2012, 07, 09, 42
3249.999, -7805.004, 01, 29, 2012, 09, 11, 12
3249.835, -7805.404, 01, 29, 2012, 11, 11, 43
3249.752, -7805.855, 01, 29, 2012, 13, 12, 36
3249.682, -7806.350, 01, 29, 2012, 15, 12, 01
3249.608, -7806.519, 01, 29, 2012, 17, 11, 55
3249.323, -7806.734, 01, 29, 2012, 19, 10, 59
3249.122, -7806.921, 01, 29, 2012, 21, 12, 34
3249.238, -7807.703, 01, 30, 2012, 01, 14, 24
3249.443, -7807.971, 01, 30, 2012, 03, 09, 18
3249.668, -7807.818, 01, 30, 2012, 05, 13, 01
3249.775, -7807.515, 01, 30, 2012, 07, 12, 49
3249.833, -7807.225, 01, 30, 2012, 09, 11, 45
3250.075, -7806.998, 01, 30, 2012, 11, 12, 48
3250.460, -7806.933, 01, 30, 2012, 13, 11, 21
3250.839, -7806.868, 01, 30, 2012, 15, 02, 16
3250.978, -7806.375, 01, 30, 2012, 17, 10, 25
3251.067, -7805.942, 01, 30, 2012, 19, 03, 27
3251.144, -7805.469, 01, 30, 2012, 21, 47, 01
3251.155, -7805.540, 01, 30, 2012, 23, 55, 08
3251.244, -7805.114, 01, 31, 2012, 01, 48, 24
3251.192, -7804.541, 01, 31, 2012, 03, 45, 53
3251.007, -7803.794, 01, 31, 2012, 05, 48, 37
3250.792, -7803.180, 01, 31, 2012, 07, 52, 15
3250.751, -7802.809, 01, 31, 2012, 09, 46, 12
3250.887, -7802.429, 01, 31, 2012, 11, 48, 42
3251.181, -7801.970, 01, 31, 2012, 13, 56, 21
3251.234, -7801.422, 01, 31, 2012, 15, 59, 20
3250.968, -7800.960, 01, 31, 2012, 17, 54, 19
3251.261, -7801.098, 01, 31, 2012, 19, 57, 53
3251.307, -7801.462, 01, 31, 2012, 21, 54, 14
3251.231, -7801.447, 01, 31, 2012, 23, 53, 07
3251.231, -7801.447, 01, 31, 2012, 23, 53, 11
3251.348, -7801.454, 02, 01, 2012, 02, 00, 41
3251.200, -7800.948, 02, 01, 2012, 03, 56, 49
3251.141, -7800.704, 02, 01, 2012, 06, 00, 32
3250.936, -7801.064, 02, 01, 2012, 07, 53, 13
3251.239, -7801.221, 02, 01, 2012, 09, 56, 15
3251.239, -7801.221, 02, 01, 2012, 09, 56, 19
3251.456, -7801.302, 02, 01, 2012, 11, 59, 45
3251.352, -7801.160, 02, 01, 2012, 13, 59, 21
3251.240, -7801.001, 02, 01, 2012, 15, 59, 02
3251.147, -7800.832, 02, 01, 2012, 17, 53, 00
3250.984, -7801.104, 02, 01, 2012, 20, 02, 34
3251.290, -7801.215, 02, 01, 2012, 21, 56, 39
3251.379, -7801.160, 02, 01, 2012, 23, 50, 52
3251.379, -7801.160, 02, 01, 2012, 23, 50, 57
3251.204, -7801.089, 02, 02, 2012, 01, 50, 16
3251.090, -7800.742, 02, 02, 2012, 04, 00, 00
3250.947, -7801.005, 02, 02, 2012, 05, 58, 15
3250.934, -7800.853, 02, 02, 2012, 09, 54, 09
3251.078, -7800.957, 02, 02, 2012, 11, 53, 35
3250.958, -7800.956, 02, 02, 2012, 15, 54, 12
3251.031, -7800.720, 02, 02, 2012, 19, 57, 03
3251.145, -7800.667, 02, 02, 2012, 22, 03, 56
3251.048, -7800.826, 02, 03, 2012, 00, 05, 46
3251.395, -7800.764, 02, 03, 2012, 01, 58, 36
3251.214, -7800.721, 02, 03, 2012, 04, 01, 22
3251.258, -7800.941, 02, 03, 2012, 05, 55, 58
3251.211, -7800.569, 02, 03, 2012, 07, 52, 35
3251.041, -7800.856, 02, 03, 2012, 09, 52, 35
3251.284, -7800.898, 02, 03, 2012, 12, 02, 18
3251.168, -7800.540, 02, 03, 2012, 14, 00, 58
3250.850, -7800.760, 02, 03, 2012, 16, 02, 29
3251.212, -7800.937, 02, 03, 2012, 18, 00, 01
3251.342, -7800.656, 02, 03, 2012, 20, 02, 04
3250.933, -7800.875, 02, 03, 2012, 23, 54, 49
3251.095, -7801.061, 02, 04, 2012, 01, 57, 59
3251.311, -7800.981, 02, 04, 2012, 03, 53, 05
3251.016, -7800.956, 02, 04, 2012, 07, 57, 22
3251.231, -7800.864, 02, 04, 2012, 09, 53, 37
3250.980, -7800.687, 02, 04, 2012, 11, 56, 31
3250.980, -7800.687, 02, 04, 2012, 11, 56, 35
