Latitude, Longitude, Month, Day, Year, Hour, Minute, Second
 3256.963, -7805.791,   02, 16, 2012,  13,  45,  24 
 3256.984, -7805.785,   02, 16, 2012,  13,  49,  00 
 3257.022, -7805.760,   02, 16, 2012,  13,  57,  12 
 3257.080, -7805.694,   02, 16, 2012,  14,  15,  21 
 3257.216, -7805.575,   02, 16, 2012,  14,  46,  34 
 3257.283, -7805.483,   02, 16, 2012,  15,  09,  04 
 3257.346, -7805.470,   02, 16, 2012,  15,  31,  41 
 3257.401, -7805.441,   02, 16, 2012,  15,  43,  55 
 3257.430, -7805.426,   02, 16, 2012,  15,  47,  46 
 3257.395, -7805.514,   02, 16, 2012,  16,  06,  55 
 3257.406, -7805.508,   02, 16, 2012,  16,  07,  59 
 3257.419, -7805.504,   02, 16, 2012,  16,  09,  04 
 3257.433, -7805.500,   02, 16, 2012,  16,  10,  05 
 3257.443, -7805.495,   02, 16, 2012,  16,  11,  09 
 3257.517, -7805.467,   02, 16, 2012,  16,  18,  32 
 3257.550, -7805.452,   02, 16, 2012,  16,  20,  51 
 3257.561, -7805.447,   02, 16, 2012,  16,  21,  54 
 3257.570, -7805.442,   02, 16, 2012,  16,  22,  55 
 3257.582, -7805.438,   02, 16, 2012,  16,  23,  55 
 3257.594, -7805.432,   02, 16, 2012,  16,  25,  41 
 3257.274, -7806.106,   02, 16, 2012,  18,  36,  24 
 3256.842, -7806.106,   02, 16, 2012,  20,  31,  19 
 3256.210, -7805.965,   02, 16, 2012,  22,  33,  47 
 3256.128, -7805.072,   02, 17, 2012,  00,  31,  36 
 3255.843, -7804.257,   02, 17, 2012,  02,  39,  49 
 3255.686, -7804.752,   02, 17, 2012,  04,  33,  36 
 3255.658, -7805.437,   02, 17, 2012,  06,  32,  49 
 3256.174, -7805.750,   02, 17, 2012,  08,  33,  22 
 3257.003, -7808.255,   02, 17, 2012,  14,  38,  41 
 3257.472, -7810.561,   02, 17, 2012,  18,  33,  39 
 3258.589, -7811.253,   02, 17, 2012,  20,  35,  44 
 3259.568, -7811.807,   02, 17, 2012,  22,  32,  50 
 3300.207, -7811.535,   02, 18, 2012,  00,  35,  38 
 3300.934, -7811.613,   02, 18, 2012,  02,  35,  57 
 3302.089, -7811.797,   02, 18, 2012,  04,  34,  39 
 3302.863, -7813.273,   02, 18, 2012,  06,  37,  15 
 3303.696, -7813.605,   02, 18, 2012,  12,  33,  26 
 3302.608, -7812.305,   02, 18, 2012,  14,  34,  03 
 3301.407, -7811.788,   02, 18, 2012,  18,  35,  25 
 3301.079, -7812.053,   02, 18, 2012,  20,  34,  45 
 3300.365, -7811.479,   02, 18, 2012,  22,  36,  54 
 3258.906, -7810.684,   02, 19, 2012,  02,  36,  32 
 3258.673, -7810.726,   02, 19, 2012,  04,  35,  37 
 3258.673, -7810.726,   02, 19, 2012,  04,  35,  46 
 3258.265, -7810.818,   02, 19, 2012,  06,  38,  38 
 3258.105, -7811.226,   02, 19, 2012,  08,  35,  12 
